experiment name	run name	in domain accuracy	out of domain accuracy	cond_3_acceptable	cond_4_unacceptable
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_4	0.998	0.998	1.0	0.992
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_8	0.536	0.536	0.084	0.996
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_10	1.0	1.0	1.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_7	0.502	0.502	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_0	0.584	0.584	0.172	0.988
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_11	1.0	1.0	1.0	0.984
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_1	0.504	0.504	0.02	0.98
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_5	0.77	0.77	0.516	0.684
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_3	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_2	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_9	0.996	0.996	1.0	0.996
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_1k_sweep	run_6	0.582	0.582	0.852	0.364
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_4	1.0	1.0	1.0	0.9996
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_8	1.0	1.0	1.0	0.9896
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_10	1.0	1.0	0.9996	0.998
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_7	1.0	1.0	1.0	0.9912
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_0	0.9994	0.9994	1.0	0.9908
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_1	1.0	1.0	0.968	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_5	1.0	1.0	0.998	0.9884
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_3	0.9996	0.9996	0.828	0.9996
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_2	1.0	1.0	1.0	0.9992
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_9	1.0	1.0	1.0	0.9748
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_10k_sweep	run_6	1.0	1.0	1.0	0.9952
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_4	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_8	0.58	0.58	0.92	0.36
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_10	0.74	0.74	0.52	0.96
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_7	0.52	0.52	0.16	0.84
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_0	0.52	0.52	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_11	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_1	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_5	0.52	0.52	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_3	0.52	0.52	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_2	0.52	0.52	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_9	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_100_sweep	run_6	0.62	0.62	0.16	0.96
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_4	1.0	1.0	1.0	0.992
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_8	1.0	1.0	1.0	0.94
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_10	0.9986666666666667	0.9986666666666667	0.984	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_7	0.9986666666666667	0.9986666666666667	0.9946666666666667	0.9546666666666667
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_0	0.6	0.6	0.6053333333333333	0.644
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_11	0.5033333333333333	0.5033333333333333	0.8946666666666667	0.13866666666666666
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_1	1.0	1.0	1.0	0.996
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_5	1.0	1.0	1.0	0.9773333333333334
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_3	0.5473333333333333	0.5473333333333333	0.9946666666666667	0.20666666666666667
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_2	0.9873333333333333	0.9873333333333333	1.0	0.8013333333333333
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_9	1.0	1.0	1.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_6	1.0	1.0	1.0	0.9893333333333333
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_4	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_8	1.0	1.0	0.9866666666666667	0.9866666666666667
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_10	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_7	0.7933333333333333	0.7933333333333333	0.32	0.9733333333333334
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_0	0.5466666666666666	0.5466666666666666	1.0	0.04
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_11	1.0	1.0	0.92	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_1	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_5	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_3	0.5533333333333333	0.5533333333333333	0.92	0.10666666666666667
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_2	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_9	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_6	0.5066666666666667	0.5066666666666667	0.0	1.0
